trip_id,duration,start_date,start_id,end_date,weekday,end_id,bike_id,type
913228,886,8/31/2015 18:47,50,8/31/2015 19:02,1,70,387,Subscriber
913227,533,8/31/2015 18:47,67,8/31/2015 18:56,1,46,547,Subscriber
913226,182,8/31/2015 18:46,65,8/31/2015 18:49,1,70,607,Subscriber
913225,521,8/31/2015 18:45,61,8/31/2015 18:54,1,77,236,Subscriber
913224,1015,8/31/2015 18:45,56,8/31/2015 19:02,1,67,531,Subscriber
913223,738,8/31/2015 18:45,80,8/31/2015 18:57,1,6,308,Subscriber
913222,248,8/31/2015 18:44,82,8/31/2015 18:48,1,74,409,Subscriber
913221,571,8/31/2015 18:44,61,8/31/2015 18:53,1,47,392,Subscriber
913220,136,8/31/2015 18:44,51,8/31/2015 18:46,1,54,618,Subscriber
913219,455,8/31/2015 18:44,57,8/31/2015 18:51,1,55,456,Subscriber
913218,584,8/31/2015 18:43,74,8/31/2015 18:53,1,70,470,Subscriber
913217,797,8/31/2015 18:43,2,8/31/2015 18:56,1,16,14,Subscriber
913216,559,8/31/2015 18:41,2,8/31/2015 18:51,1,84,702,Subscriber
913215,439,8/31/2015 18:40,76,8/31/2015 18:48,1,70,652,Subscriber
913214,334,8/31/2015 18:40,57,8/31/2015 18:45,1,69,405,Subscriber
913213,332,8/31/2015 18:39,28,8/31/2015 18:45,1,32,147,Subscriber
913212,73,8/31/2015 18:39,57,8/31/2015 18:40,1,57,456,Subscriber
913211,7558,8/31/2015 18:38,60,8/31/2015 20:44,1,60,385,Customer
913210,7472,8/31/2015 18:38,60,8/31/2015 20:43,1,60,585,Customer
913209,375,8/31/2015 18:38,60,8/31/2015 18:45,1,74,557,Subscriber
913208,265,8/31/2015 18:38,77,8/31/2015 18:42,1,55,461,Subscriber
913207,286,8/31/2015 18:38,60,8/31/2015 18:42,1,74,279,Subscriber
913205,554,8/31/2015 18:37,28,8/31/2015 18:46,1,33,251,Subscriber
913204,453,8/31/2015 18:36,54,8/31/2015 18:44,1,69,594,Customer
913203,433,8/31/2015 18:36,2,8/31/2015 18:44,1,7,679,Subscriber
913202,435,8/31/2015 18:36,2,8/31/2015 18:44,1,7,688,Subscriber
913201,464,8/31/2015 18:36,67,8/31/2015 18:44,1,71,382,Subscriber
913199,700,8/31/2015 18:34,77,8/31/2015 18:46,1,69,611,Subscriber
913198,353,8/31/2015 18:34,65,8/31/2015 18:40,1,65,370,Subscriber
913197,692,8/31/2015 18:34,67,8/31/2015 18:45,1,69,878,Subscriber
913195,350,8/31/2015 18:34,77,8/31/2015 18:39,1,55,463,Subscriber
913193,355,8/31/2015 18:32,69,8/31/2015 18:38,1,57,405,Subscriber
913191,515,8/31/2015 18:32,70,8/31/2015 18:40,1,55,527,Subscriber
913189,220,8/31/2015 18:31,69,8/31/2015 18:35,1,65,606,Subscriber
913186,1280,8/31/2015 18:31,70,8/31/2015 18:52,1,41,417,Subscriber
913185,451,8/31/2015 18:30,72,8/31/2015 18:38,1,69,277,Customer
913184,809,8/31/2015 18:30,75,8/31/2015 18:43,1,59,600,Customer
913183,226,8/31/2015 18:30,62,8/31/2015 18:34,1,77,621,Subscriber
913169,178,8/31/2015 18:26,55,8/31/2015 18:29,1,56,531,Subscriber
913166,591,8/31/2015 18:25,50,8/31/2015 18:35,1,71,291,Subscriber
913165,269,8/31/2015 18:24,49,8/31/2015 18:29,1,63,361,Subscriber
913164,389,8/31/2015 18:24,65,8/31/2015 18:30,1,61,236,Subscriber
913163,1244,8/31/2015 18:23,60,8/31/2015 18:44,1,69,390,Customer
913162,437,8/31/2015 18:23,51,8/31/2015 18:30,1,69,410,Subscriber
913161,1283,8/31/2015 18:23,60,8/31/2015 18:44,1,69,526,Customer
